time,24-hour,18-hour,12-hour,6-hour,3-hour,2-hour,60-min,30-min,15-min,10-min,5-min
19.7,0.94799,0.98604,1,1,1,1,1,1,1,1,1
19.8,0.94935,0.9875,1,1,1,1,1,1,1,1,1
19.9,0.95069,0.98894,1,1,1,1,1,1,1,1,1
20,0.952,0.99035,1,1,1,1,1,1,1,1,1
20.1,0.9533,0.99174,1,1,1,1,1,1,1,1,1
20.2,0.95459,0.99313,1,1,1,1,1,1,1,1,1
20.3,0.95588,0.99452,1,1,1,1,1,1,1,1,1
20.4,0.95716,0.99589,1,1,1,1,1,1,1,1,1
20.5,0.95844,0.99727,1,1,1,1,1,1,1,1,1
20.6,0.95971,0.99863,1,1,1,1,1,1,1,1,1
20.7,0.96098,1,1,1,1,1,1,1,1,1,1
20.8,0.96224,1,1,1,1,1,1,1,1,1,1
20.9,0.9635,1,1,1,1,1,1,1,1,1,1
21,0.96475,1,1,1,1,1,1,1,1,1,1
21.1,0.966,1,1,1,1,1,1,1,1,1,1
21.2,0.96724,1,1,1,1,1,1,1,1,1,1
21.3,0.96848,1,1,1,1,1,1,1,1,1,1
21.4,0.96971,1,1,1,1,1,1,1,1,1,1
21.5,0.97094,1,1,1,1,1,1,1,1,1,1
21.6,0.97216,1,1,1,1,1,1,1,1,1,1
21.7,0.97338,1,1,1,1,1,1,1,1,1,1
21.8,0.97459,1,1,1,1,1,1,1,1,1,1
21.9,0.9758,1,1,1,1,1,1,1,1,1,1
22,0.977,1,1,1,1,1,1,1,1,1,1
22.1,0.9782,1,1,1,1,1,1,1,1,1,1
22.2,0.97939,1,1,1,1,1,1,1,1,1,1
22.3,0.98058,1,1,1,1,1,1,1,1,1,1
22.4,0.98176,1,1,1,1,1,1,1,1,1,1
22.5,0.98294,1,1,1,1,1,1,1,1,1,1
22.6,0.98411,1,1,1,1,1,1,1,1,1,1
22.7,0.98528,1,1,1,1,1,1,1,1,1,1
22.8,0.98644,1,1,1,1,1,1,1,1,1,1
22.9,0.9876,1,1,1,1,1,1,1,1,1,1
23,0.98875,1,1,1,1,1,1,1,1,1,1
23.1,0.9899,1,1,1,1,1,1,1,1,1,1
23.2,0.99104,1,1,1,1,1,1,1,1,1,1
23.3,0.99218,1,1,1,1,1,1,1,1,1,1
23.4,0.99331,1,1,1,1,1,1,1,1,1,1
23.5,0.99444,1,1,1,1,1,1,1,1,1,1
23.6,0.99556,1,1,1,1,1,1,1,1,1,1
23.7,0.99668,1,1,1,1,1,1,1,1,1,1
23.8,0.99779,1,1,1,1,1,1,1,1,1,1
23.9,0.9989,1,1,1,1,1,1,1,1,1,1
24,1,1,1,1,1,1,1,1,1,1,1
