Datetime,time,hour,min,24-hour,18-hour,12-hour,6-hour,3-hour,2-hour,60-min,30-min,15-min,10-min,5-min
1/1/2000 20:06,20.1,20,6,0.95459,0.99313,,,,,,,,,
1/1/2000 20:12,20.2,20,12,0.95588,0.99452,,,,,,,,,
1/1/2000 20:18,20.3,20,18,0.95716,0.99589,,,,,,,,,
1/1/2000 20:24,20.4,20,24,0.95844,0.99727,,,,,,,,,
1/1/2000 20:30,20.5,20,30,0.95971,0.99863,,,,,,,,,
1/1/2000 20:36,20.6,20,36,0.96098,1,,,,,,,,,
1/1/2000 20:42,20.7,20,42,0.96224,,,,,,,,,,
1/1/2000 20:48,20.8,20,48,0.9635,,,,,,,,,,
1/1/2000 20:54,20.9,20,54,0.96475,,,,,,,,,,
1/1/2000 21:00,21,21,0,0.966,,,,,,,,,,
1/1/2000 21:06,21.1,21,6,0.96724,,,,,,,,,,
1/1/2000 21:12,21.2,21,12,0.96848,,,,,,,,,,
1/1/2000 21:18,21.3,21,18,0.96971,,,,,,,,,,
1/1/2000 21:24,21.4,21,24,0.97094,,,,,,,,,,
1/1/2000 21:30,21.5,21,30,0.97216,,,,,,,,,,
1/1/2000 21:36,21.6,21,36,0.97338,,,,,,,,,,
1/1/2000 21:42,21.7,21,42,0.97459,,,,,,,,,,
1/1/2000 21:48,21.8,21,48,0.9758,,,,,,,,,,
1/1/2000 21:54,21.9,21,54,0.977,,,,,,,,,,
1/1/2000 22:00,22,22,0,0.9782,,,,,,,,,,
1/1/2000 22:06,22.1,22,6,0.97939,,,,,,,,,,
1/1/2000 22:12,22.2,22,12,0.98058,,,,,,,,,,
1/1/2000 22:18,22.3,22,18,0.98176,,,,,,,,,,
1/1/2000 22:24,22.4,22,24,0.98294,,,,,,,,,,
1/1/2000 22:30,22.5,22,30,0.98411,,,,,,,,,,
1/1/2000 22:36,22.6,22,36,0.98528,,,,,,,,,,
1/1/2000 22:42,22.7,22,42,0.98644,,,,,,,,,,
1/1/2000 22:48,22.8,22,48,0.9876,,,,,,,,,,
1/1/2000 22:54,22.9,22,54,0.98875,,,,,,,,,,
1/1/2000 23:00,23,23,0,0.9899,,,,,,,,,,
1/1/2000 23:06,23.1,23,6,0.99104,,,,,,,,,,
1/1/2000 23:12,23.2,23,12,0.99218,,,,,,,,,,
1/1/2000 23:18,23.3,23,18,0.99331,,,,,,,,,,
1/1/2000 23:24,23.4,23,24,0.99444,,,,,,,,,,
1/1/2000 23:30,23.5,23,30,0.99556,,,,,,,,,,
1/1/2000 23:36,23.6,23,36,0.99668,,,,,,,,,,
1/1/2000 23:42,23.7,23,42,0.99779,,,,,,,,,,
1/1/2000 23:48,23.8,23,48,0.9989,,,,,,,,,,
1/1/2000 23:54,23.9,23,54,1,,,,,,,,,,
